User,,,,,,
No,Username,Name,Email,Phone,Type,Class
1,1753001,Nguyen Van Quoc Dai,1753001@hcmus.edu.vn,900001,1,17CLC1
2,1753002,Nguyen Duy Vat,1753002@hcmus.edu.vn,900002,1,17CLC1
3,1753003,Nguyen Cuong Huy,1753003@hcmus.edu.vn,900003,1,17CLC1
4,1753004,Le Van Minh,1753004@hcmus.edu.vn,900004,1,17CLC1
5,1753005,Le Xuan Truong,1753005@hcmus.edu.vn,900005,1,17CLC1
6,1753006,Mai Thanh Thuy,1753006@hcmus.edu.vn,900006,1,17CLC1
7,1753007,Duong Khac Duy,1753007@hcmus.edu.vn,900007,1,17CLC2
8,1753008,Tran Quang Dai,1753008@hcmus.edu.vn,900008,1,17CLC2
9,1753009,Hoang Le Anh tuan,1753009@hcmus.edu.vn,900009,1,17CLC2
10,1753010,Le Gia Bao,1753010@hcmus.edu.vn,900010,1,17CLC2
11,1753011,Nguyen Van Viet,1753011@hcmus.edu.vn,900011,1,17CLC2
12,1753012,Le Thi Hong,1753012@hcmus.edu.vn,900012,1,17CLC2
13,1753013,Hoang Duong Vy,1753013@hcmus.edu.vn,900013,1,17CLC2
14,1753014,Nguyen Le Tuong Vy,1753014@hcmus.edu.vn,900014,1,17CLC2
15,1753015,Duong Thi Nguyet,1753015@hcmus.edu.vn,900015,1,17CLC2
16,1753016,Tran Quang Phu,1753016@hcmus.edu.vn,900016,1,17CLC3
17,1753017,Le Quoc Bao,1753017@hcmus.edu.vn,900017,1,17CLC3
18,1753018,Nguyen Ngoc Phuong,1753018@hcmus.edu.vn,900018,1,17CLC3
19,1753019,Le Hoang Minh Tri,1753019@hcmus.edu.vn,900019,1,17CLC3
20,1753020,Luu Gia Vy,1753020@hcmus.edu.vn,900020,1,17CLC3
